"oil final consumption by product in Spain",Value,Year,Units
"Jet kerosene",66821,2002, TJ
"Jet kerosene",70128,2003, TJ
"Jet kerosene",77748,2004, TJ
"Jet kerosene",90686,2005, TJ
"Jet kerosene",95333,2006, TJ
"Jet kerosene",100315,2007, TJ
"Jet kerosene",96756,2008, TJ
"Jet kerosene",85620,2009, TJ
"Jet kerosene",95584,2010, TJ
"Jet kerosene",85745,2011, TJ
"Jet kerosene",74231,2012, TJ
"Jet kerosene",68496,2013, TJ
"Jet kerosene",71594,2014, TJ
"Jet kerosene",74399,2015, TJ
"Jet kerosene",79967,2016, TJ
"Jet kerosene",86373,2017, TJ
"Jet kerosene",90309,2018, TJ
"Jet kerosene",95375,2019, TJ
"Jet kerosene",38602,2020, TJ
"Jet kerosene",66460,2021, TJ
"Jet kerosene",100091,2022, TJ
"Jet kerosene",108087,2023, TJ
"Jet kerosene",,2024, TJ
"Other kerosene",125,2000, TJ
"Other kerosene",418,2001, TJ
"Other kerosene",334,2002, TJ
"Other kerosene",41,2003, TJ
"Other kerosene",,2004, TJ
"Other kerosene",,2005, TJ
"Other kerosene",,2006, TJ
"Other kerosene",,2007, TJ
"Other kerosene",,2008, TJ
"Other kerosene",,2009, TJ
"Other kerosene",,2010, TJ
"Other kerosene",,2011, TJ
"Other kerosene",,2012, TJ
"Other kerosene",,2013, TJ
"Other kerosene",,2014, TJ
"Other kerosene",,2015, TJ
"Other kerosene",,2016, TJ
"Other kerosene",,2017, TJ
"Other kerosene",,2018, TJ
"Other kerosene",,2019, TJ
"Other kerosene",,2020, TJ
"Other kerosene",8,2021, TJ
"Other kerosene",5,2022, TJ
"Other kerosene",6,2023, TJ
"Other kerosene",,2024, TJ
"Fuel oil",101739,2000, TJ
"Fuel oil",95668,2001, TJ
"Fuel oil",101488,2002, TJ
"Fuel oil",104502,2003, TJ
"Fuel oil",66360,2004, TJ
"Fuel oil",44589,2005, TJ
"Fuel oil",85620,2006, TJ
"Fuel oil",77246,2007, TJ
"Fuel oil",74190,2008, TJ
"Fuel oil",60080,2009, TJ
"Fuel oil",49404,2010, TJ
"Fuel oil",47478,2011, TJ
"Fuel oil",31861,2012, TJ
"Fuel oil",33368,2013, TJ
"Fuel oil",25958,2014, TJ
"Fuel oil",22357,2015, TJ
"Fuel oil",26083,2016, TJ
"Fuel oil",37513,2017, TJ
"Fuel oil",37388,2018, TJ
"Fuel oil",39104,2019, TJ
"Fuel oil",26669,2020, TJ
"Fuel oil",27770,2021, TJ
"Fuel oil",31030,2022, TJ
"Fuel oil",25974,2023, TJ
"Fuel oil",,2024, TJ
"Other oil products",314889,2000, TJ
"Other oil products",331552,2001, TJ
"Other oil products",319034,2002, TJ
"Other oil products",368647,2003, TJ
"Other oil products",409887,2004, TJ
"Other oil products",389539,2005, TJ
"Other oil products",388116,2006, TJ
"Other oil products",376058,2007, TJ
"Other oil products",382254,2008, TJ
"Other oil products",339800,2009, TJ
"Other oil products",338335,2010, TJ
"Other oil products",317275,2011, TJ
"Other oil products",284660,2012, TJ
"Other oil products",182628,2013, TJ
"Other oil products",131674,2014, TJ
"Other oil products",137285,2015, TJ
"Other oil products",156167,2016, TJ
"Other oil products",149259,2017, TJ
"Other oil products",173919,2018, TJ
"Other oil products",171658,2019, TJ
"Other oil products",178022,2020, TJ
"Other oil products",159895,2021, TJ
"Other oil products",121981,2022, TJ
"Other oil products",138255,2023, TJ
"Other oil products",,2024, TJ
"Crude oil/NGL",502,2000, TJ
"Crude oil/NGL",502,2001, TJ
"Crude oil/NGL",502,2002, TJ
"Crude oil/NGL",502,2003, TJ
"Crude oil/NGL",502,2004, TJ
"Crude oil/NGL",502,2005, TJ
"Crude oil/NGL",502,2006, TJ
"Crude oil/NGL",502,2007, TJ
"Crude oil/NGL",502,2008, TJ
"Crude oil/NGL",502,2009, TJ
"Crude oil/NGL",502,2010, TJ
"Crude oil/NGL",502,2011, TJ
"Crude oil/NGL",502,2012, TJ
"Crude oil/NGL",502,2013, TJ
"Crude oil/NGL",293,2014, TJ
"Crude oil/NGL",,2015, TJ
"Crude oil/NGL",,2016, TJ
"Crude oil/NGL",,2017, TJ
"Crude oil/NGL",,2018, TJ
"Crude oil/NGL",,2019, TJ
"Crude oil/NGL",,2020, TJ
"Crude oil/NGL",,2021, TJ
"Crude oil/NGL",,2022, TJ
"Crude oil/NGL",,2023, TJ
"Crude oil/NGL",,2024, TJ
